

gen best mean std
0 91.930119 9.156508 26.693261
0 91.933573 24.453899 33.175836
1 91.933573 47.788194 33.896569
2 91.933573 53.813048 36.595946
3 92.572379 65.581533 35.224474
4 92.87699 69.775477 34.803499
5 92.643172 72.823298 36.085328
6 92.533573 76.123432 32.479967
7 93.17505 79.404927 29.137906
8 92.643172 79.358769 29.727751
9 93.17505 74.099982 34.136149
10 92.87699 74.218912 34.731222
11 92.77505 80.584693 27.489476
12 92.766278 79.240457 25.799592
13 92.985064 82.656664 23.044615
14 92.966278 74.631236 31.31234
