

gen best mean std
0 22.541774 -78.001231 39.826078
1 24.961057 -53.641234 45.268199
2 25.276481 -40.952467 47.261856
3 25.75429 -36.019383 50.196787
4 26.816125 -26.553945 52.133877
5 27.301839 -6.833256 47.239711
6 27.208845 -1.283174 43.979004
7 26.547753 -3.790648 46.529458
8 27.285403 2.125221 44.056042
9 27.481742 2.560581 43.94568
10 26.657193 6.595805 37.105733
11 27.681955 14.193815 25.622144
12 27.114161 14.817238 28.909068
13 27.114161 15.218733 25.425521
14 27.45046 14.813977 28.255866
15 29.951716 20.837122 16.23224
16 26.712664 17.745402 22.503738
17 27.114161 17.858435 21.462377
18 27.02501 18.459639 20.81953
19 27.369389 19.682272 17.799568
