

gen best mean std
0 93.329567 13.964466 33.411194
0 93.936796 27.287166 38.184312
1 93.611096 55.581921 41.137879
2 93.752828 64.74723 39.934518
3 94.004679 76.303487 34.81554
4 93.936796 74.660398 36.479218
5 93.936796 79.129375 30.784398
6 93.936796 79.306598 31.061398
7 93.936796 81.030575 29.821022
8 93.936796 84.565085 25.261787
9 93.982788 89.487313 16.461716
10 93.936796 81.978163 28.937589
11 93.936796 85.090154 24.79449
12 93.936796 89.769248 16.102853
13 93.936796 90.951573 11.522717
14 94.06625 88.28719 17.997386
