

gen best mean std
0 0.0 -82.1 31.122179
1 0.0 -54.4 38.789689
2 9.4 -35.906 42.35142
3 7.0 -35.13 43.639124
4 7.0 -30.33 41.720272
5 22.6 -20.504 38.146869
6 27.4 -12.326 31.00931
7 27.4 -10.926 29.39609
8 0.0 -13.0 29.274562
9 7.0 -13.060606 30.044014
10 9.4 -5.006122 18.414822
11 9.4 -7.22268 21.664773
12 29.2 -1.76701 12.818372
13 9.4 -3.542268 17.854
14 19.6 -3.740206 17.872681
15 29.2 -3.14433 18.047606
16 7.6 -2.189691 12.759742
17 21.4 0.220619 2.161612
18 0.0 -1.649485 9.915146
19 29.2 -0.936082 10.729881
