

gen best mean std
0 91.933573 11.80022 31.562656
0 91.933573 29.990152 37.997499
1 91.933573 56.049338 33.803639
2 92.572379 66.118179 34.879598
3 92.612614 67.957137 34.821455
4 92.643172 73.304666 32.998129
5 92.643172 75.07995 33.578396
6 92.643172 79.922879 23.788188
7 92.643172 79.81292 25.336209
8 92.658736 78.381586 26.618309
9 92.658736 79.339429 26.900896
10 92.658736 84.503151 17.939219
11 93.327729 81.202123 19.712658
12 92.686571 83.971535 20.420966
13 92.686571 71.610017 30.063339
14 92.658736 75.34254 26.499827
