

gen best mean std
0 92.897405 13.766115 30.061672
0 92.83124 27.481885 35.714827
1 93.936796 44.620233 39.763662
2 93.261683 51.801484 40.616818
3 93.936796 65.502366 38.645844
4 94.195993 73.796107 33.7375
5 93.936796 78.286895 31.859488
6 93.936796 76.845999 32.31848
7 94.078596 80.512585 29.301922
8 93.936796 82.709983 27.9203
9 93.936796 81.926415 28.395261
10 93.936796 86.663136 21.360355
11 93.936796 88.808264 16.65645
12 93.936796 86.796202 19.536028
13 93.936796 88.832882 16.942323
14 93.936796 90.594156 11.52583
