

gen best mean std
0 87.331054 2.222359 21.833909
0 87.139358 10.800084 29.948575
1 87.139358 19.75721 32.648625
2 88.819688 38.745998 38.025083
3 90.866611 57.635063 37.173371
4 87.712977 66.179162 35.761251
5 88.819688 62.65078 38.650392
6 92.173561 72.945232 30.47594
7 89.119688 65.501104 35.231216
8 89.119688 75.205452 28.502277
9 89.753548 66.14801 36.10015
10 87.712977 66.411262 36.381192
11 89.119688 73.547843 30.670974
12 91.873561 69.692037 34.312157
13 90.806602 72.081165 32.098785
14 87.712977 72.356827 30.922312
