

gen best mean std
0 23.665748 -84.637169 37.919737
1 24.794301 -48.630517 44.664837
2 26.301243 -34.769548 53.403217
3 27.114161 -13.910418 48.317502
4 26.445858 1.882903 37.432352
5 26.10103 -5.738115 45.724433
6 27.481742 7.781728 35.287923
7 26.445858 2.907516 41.594125
8 26.437044 5.416187 41.711943
9 27.208845 17.184503 23.567299
10 26.657193 20.973592 16.034356
11 27.369389 20.718296 18.511796
12 26.301243 21.139525 14.845701
13 29.301845 22.545657 11.919706
14 27.681955 20.986464 15.737068
15 27.322702 22.977455 12.647886
16 26.3893 23.034183 6.63935
17 26.657193 23.845979 3.10308
18 27.551593 20.154756 20.91114
19 26.746564 24.031106 1.1454
