

gen best mean std
0 0.0 -90.5 23.167866
1 0.0 -67.0 36.510273
2 23.8 -44.278 39.617026
3 0.0 -36.9 42.348436
4 18.4 -20.016 35.954768
5 0.0 -20.5 36.010415
6 7.6 -16.724 33.028555
7 7.6 -16.624 34.514058
8 0.0 -14.9 31.38455
9 22.6 -11.185859 28.74892
10 2.2 -4.671429 18.424213
11 4.0 -3.876289 17.397273
12 29.8 -1.387629 14.466394
13 37.0 -3.36701 19.234391
14 22.6 -0.259794 10.875004
15 32.2 -1.43299 14.370378
16 46.6 -2.6 16.541507
17 29.2 -1.783505 15.204657
18 21.4 -1.416495 11.7046
19 18.4 0.123711 3.083102
