

gen best mean std
0 91.007911 6.960592 26.439443
0 91.377803 15.99615 31.514159
1 93.021683 32.813813 37.457296
2 93.936796 63.662194 35.745409
3 94.212976 66.850679 38.545588
4 93.936796 76.928988 31.892787
5 93.996796 78.094467 31.313627
6 93.936796 79.269115 32.101616
7 94.289567 79.773183 30.617006
8 93.936796 78.702316 31.442409
9 93.996796 80.714834 27.37205
10 93.936796 80.692418 29.80302
11 94.168142 86.495812 21.460091
12 93.971096 89.860789 14.938056
13 94.168142 86.957216 19.937014
14 93.936796 89.579623 15.228159
