

gen best mean std
0 87.139358 5.437706 26.461085
0 87.139358 14.153295 31.846035
1 92.2439 29.527437 37.66821
2 89.959688 53.494681 37.95958
3 89.959688 60.162752 38.915203
4 90.806602 70.54329 32.106895
5 90.026611 70.151813 32.429583
6 90.806602 74.733105 29.586378
7 89.223246 69.110617 33.030603
8 90.806602 68.098359 34.304505
9 90.139361 69.441966 32.908983
10 90.430675 70.97427 30.948545
11 90.466318 64.775134 37.104386
12 90.986285 64.534272 36.496616
13 91.166602 71.57104 31.357833
14 91.030675 67.54141 35.83525
