

gen best mean std
0 93.318708 11.954154 31.047232
0 93.43704 29.400188 39.897571
1 93.936796 50.576898 40.166486
2 93.501683 69.073834 36.472675
3 93.936796 71.955881 35.549679
4 93.936796 72.879424 36.517234
5 93.936796 76.315329 34.11348
6 93.936796 84.420657 23.729037
7 93.936796 76.21642 34.187644
8 93.936796 80.319357 29.735899
9 93.936796 82.753578 26.90712
10 93.936796 83.520183 26.832769
11 93.936796 85.29739 23.853362
12 93.936796 83.073285 26.596478
13 93.936796 83.987423 25.26695
14 94.223414 88.099861 16.015562
