

gen best mean std
0 92.658736 7.311572 26.003557
0 92.575982 21.812896 33.250549
1 92.639318 49.871298 36.167008
2 92.643172 58.198376 35.491999
3 92.643172 65.925901 33.736243
4 92.643172 66.134431 34.783757
5 93.17505 70.773544 34.429281
6 92.643172 77.230639 29.174508
7 93.252892 70.884052 35.384004
8 93.012614 74.11419 32.708532
9 93.327729 73.246674 33.252729
10 93.17505 69.765839 33.374073
11 93.012614 77.001581 30.625107
12 93.17505 73.652802 30.175652
13 93.012614 67.669342 36.76866
14 93.012614 73.947187 31.009359
