

gen best mean std
0 21.4 -83.286 32.047181
1 0.0 -49.9 38.794201
2 21.4 -29.772 40.259002
3 21.4 -26.186 38.325879
4 0.0 -18.6 34.088708
5 21.4 -19.986 36.566917
6 24.4 -14.356 31.07827
7 0.0 -10.1 25.748592
8 0.0 -12.2 28.795138
9 21.4 -10.288889 27.702915
10 0.0 -5.918367 20.98769
11 21.4 -5.65567 21.504078
12 0.0 -4.020619 15.375693
13 0.0 -2.371134 13.605123
14 0.0 -5.360825 19.691531
15 21.4 -2.872165 13.568374
16 26.8 -1.785567 11.757419
17 24.4 -0.985567 10.601079
18 0.0 -1.340206 8.326936
19 24.4 -0.676289 7.766566
