

gen best mean std
0 91.933573 13.030943 31.298605
0 91.933573 31.054194 37.142962
1 91.933573 55.048446 32.866337
2 92.568788 69.891892 32.601389
3 92.133573 69.144936 34.262017
4 92.133573 81.563157 26.654757
5 92.133573 80.368968 29.684078
6 92.612614 81.325451 24.8361
7 92.643172 84.749399 21.939773
8 92.572379 85.779161 17.762127
9 93.332142 86.163761 20.480831
10 93.052892 84.634986 23.473724
11 92.67699 76.753868 28.694395
12 92.932142 79.058719 28.57725
13 93.140414 80.835123 25.862208
14 93.140414 85.245078 19.682018
