

gen best mean std
0 87.48643 5.373201 26.297539
0 90.506602 19.739568 36.405285
1 90.686285 40.065223 39.546241
2 89.682264 60.724329 38.581894
3 90.234865 58.595576 39.986219
4 91.033561 59.619744 38.960621
5 91.033561 65.588024 36.237286
6 90.234865 63.274018 37.731254
7 90.386285 62.024802 39.395205
8 91.033561 65.52743 35.293919
9 91.886285 64.580264 37.147927
10 90.926602 64.522088 36.17156
11 90.234865 72.686146 30.413412
12 90.926602 71.206242 31.770991
13 90.386285 70.026365 32.949611
14 90.926602 63.536932 36.641658
