

gen best mean std
0 24.663361 -85.143529 36.85952
1 25.416013 -51.052771 42.340948
2 25.62139 -34.380644 47.53806
3 26.745038 -18.668941 51.401862
4 26.277126 -3.363447 45.204668
5 26.547753 -15.661573 52.206852
6 26.235465 -5.085634 48.981884
7 27.188632 3.590344 42.084605
8 26.301243 0.389628 43.130766
9 27.114161 7.408323 38.225598
10 27.113796 12.432028 32.918162
11 27.5387 16.425353 27.385467
12 27.457825 17.631887 23.858736
13 28.826397 16.663716 24.308571
14 28.123118 16.31024 26.356877
15 27.681955 16.192227 27.088784
16 28.67481 17.875443 22.816976
17 28.094126 18.472102 21.691743
18 27.650528 16.926325 27.347969
19 26.95239 13.988781 28.897201
