gen best mean std
0 90.32482618476618 6.412609013131954 25.44551431666006
1 92.51859563501553 29.30582682751994 38.59664679730794
2 92.56956207860756 53.33983614165285 36.91704220413123
3 92.33740496697304 52.75440035029757 35.9412747613015
4 92.93214184093668 53.52126188911555 38.16122209818987
5 93.01261419415926 59.42377578044145 34.47849587696387
6 93.01261419415926 59.50492243372221 34.819551651986146
7 93.37065437104556 58.62120802819094 36.946271976555664
8 92.93214184093668 55.958829181171936 37.898140387207285
9 93.01261419415926 60.403267677987905 36.60707724737386
10 93.27274631484279 68.6593711505842 33.90421191134268
11 93.27274631484279 65.61036864882743 35.941424344385744
12 92.88188000615578 61.15008083725498 35.772745764754006
13 93.27274631484279 57.15939166052957 38.21691257037322
14 92.64317193830047 62.49987503367817 34.889854452925924
