gen best mean std
0 0.0 -66.5 35.39420856580918
1 19.000000000000234 -73.025 35.86606160425202
2 0.0 -71.0 36.318039594669756
3 0.0 -71.5 36.30082643687331
4 0.0 -71.25 35.15590277606308
5 0.0 -71.5 35.815499438092445
6 0.0 -70.75 36.495718927019375
7 0.0 -72.0 36.069377593742864
8 0.0 -71.0 37.134889255254286
9 0.0 -73.0 34.07345007480164
10 0.0 -71.5 36.36963018783666
11 19.000000000000234 -70.77499999999999 36.158323730504996
12 19.000000000000234 -69.02499999999999 37.87577556961706
13 0.0 -71.5 36.36963018783666
14 0.0 -70.25 36.50256840278503
15 19.000000000000234 -70.27499999999999 37.722001206192665
16 0.0 -72.5 34.04041715373065
17 0.0 -71.75 35.83904993160394
18 0.0 -72.75 34.78415587591569
19 19.000000000000234 -71.02499999999999 36.7351925951124
