gen best mean std
0 91.85092391510479 8.485422762962727 27.330418553601298
1 92.39051384715857 30.361349680128264 38.70041731370546
2 92.25873645484157 44.657443864946366 37.82030983738244
3 91.93357331188756 49.210108104263306 34.01061685982608
4 93.17504998251859 58.058230948742164 35.5499083998632
5 93.14041448585584 63.55951258367513 34.14677727895967
6 93.54250462797222 60.75602782018132 35.20519170429544
7 93.54250462797222 64.68117845659089 32.99220886331754
8 92.94041448585585 64.0236623002871 33.18036653959221
9 92.9361681949744 60.60663029506382 36.48939422807637
10 93.54250462797222 66.89976153667712 34.413336143640464
11 93.26728120673462 67.28183817252473 34.862492425422104
12 93.54250462797222 65.54910326994238 33.39105935730566
13 93.33214184093667 65.04359020151881 36.57747649708965
14 93.54250462797222 63.22347333993862 36.7251491242151
