gen best mean std
0 -38.39753100530713 -99.14630088857498 16.14648967793319
1 23.577928509968675 -95.34108398442841 29.610747212387313
2 20.936470431403826 -93.96396899478273 30.770860968076764
3 24.152239250115663 -94.83703960826966 31.166444909931656
4 22.625875365009342 -94.59512104753072 31.18138713932872
5 23.27891996659906 -94.14070673148784 31.07254976952837
6 21.007689728000322 -95.98129661737337 28.957713301678798
7 24.068919013712964 -95.31753007204773 28.60896864299787
8 21.309202069952168 -95.35155722060183 28.232719153222128
9 21.45558950585019 -96.06405116110801 28.95432900886579
10 23.03108295865926 -95.73871297663432 28.605940863189524
11 24.427209215820575 -95.07692756506631 31.31416315050553
12 22.992608895320252 -94.88185021734321 28.88282741941707
13 21.599087531852753 -96.04440922738159 26.800491418879155
14 22.524300613374706 -94.18046252758828 31.308423732566144
15 21.440316262584073 -94.08797684489014 31.369789454164557
16 20.936470431403826 -95.4478629955796 30.5228708062723
17 23.12042632946865 -93.8964674611048 31.65651001192886
18 22.763528327914344 -94.59152747126805 31.64026550933637
19 24.260244557190912 -96.16423926337745 29.640973734639914
