gen best mean std
0 86.87790720182988 2.599967599570685 20.589689160724486
1 88.4935479947156 16.689992557605848 29.105687205030474
2 91.97061166337204 31.23041975053548 35.964644811210995
3 91.97061166337204 36.01816664391399 38.50186188624985
4 91.97061166337204 38.749940775560404 36.56836652860173
5 91.97061166337204 47.30360315303945 38.78696424439248
6 91.97061166337204 51.338326573340304 37.26285995360482
7 90.91052820481508 45.92296167801513 40.55619771204555
8 90.89346333071256 55.42270751730166 38.434438129691536
9 91.04660195700338 57.43392035111416 36.68615129782804
10 92.09297711225776 56.257408461822074 36.97783746337355
11 91.04660195700338 49.29666597930686 37.16781595017469
12 91.04660195700338 47.63659701584342 37.51941146849202
13 92.85425332628681 49.71891569307665 37.82115738510387
14 93.33425332628681 60.14598158282586 36.508879151509795
