gen best mean std
0 -80.0 -94.0 8.0
1 -30.0 -93.5 13.88344337691482
2 -20.0 -93.25 14.728798321655436
3 -30.0 -92.75 16.276900810658027
4 -20.0 -93.0 15.033296378372908
5 -20.0 -92.75 14.997916521970643
6 -60.0 -94.0 10.908712114635714
7 -20.0 -93.25 14.897566915439581
8 -30.0 -93.25 14.210471491122313
9 -20.0 -93.25 14.558073361540668
10 -30.0 -93.25 14.033442200686189
11 -20.0 -93.5 15.740076238697194
12 -40.0 -92.75 13.414078425296312
13 -20.0 -93.0 14.696938456699069
14 -20.0 -92.75 16.429774800647756
15 -20.0 -92.5 15.612494995995995
16 -30.0 -94.0 12.409673645990857
17 -30.0 -94.5 13.028814220795383
18 -60.0 -94.0 11.789826122551595
19 -40.0 -93.75 12.386989141837494
