gen best mean std
0 90.52482618476617 13.727975243676532 31.449970743207988
1 92.39605369405454 41.0649767977748 38.85467802114601
2 94.36956207860757 52.551248902678836 37.27860785834177
3 94.38272016318508 52.43007987342123 36.48111190693684
4 93.38506424239101 55.83063739535845 36.82373003987161
5 93.38506424239101 53.816845701542846 35.68138172855706
6 92.56878821817864 55.089950741164735 37.42270402637928
7 93.53214184093667 59.3741414369643 34.90919572677666
8 93.41261419415923 58.71082320755348 35.69866401300246
9 92.96956207860757 63.16851830546405 31.915462352206987
10 93.41261419415923 62.291229873170195 34.808364605124915
11 93.35326262833368 65.91921850181126 31.118276859090635
12 93.35326262833368 67.0801444684826 32.3000664120672
13 92.63931836898448 66.24767151670237 32.089171203913615
14 92.93214184093668 63.82561008692395 36.08728686528484
