gen best mean std
0 0.0 -89.5 22.907422377910613
1 0.0 -87.0 25.41653005427767
2 0.0 -89.75 21.735627435158158
3 0.0 -85.75 25.088593025516598
4 0.0 -88.5 23.4040594769369
5 0.0 -87.5 24.8746859276655
6 0.0 -87.25 24.288629026768884
7 0.0 -87.25 24.49362161869902
8 0.0 -86.75 24.73737051507294
9 0.0 -86.0 25.179356624028344
10 0.0 -86.25 26.896793489187516
11 0.0 -86.75 24.12338077467584
12 0.0 -86.5 25.25371259834878
13 0.0 -87.75 23.07460725559592
14 0.0 -86.5 26.12948526090784
15 0.0 -86.25 25.366069857193093
16 0.0 -87.0 25.612496949731394
17 0.0 -85.5 24.894778569009205
18 0.0 -86.25 26.71025084120327
19 0.0 -89.75 22.077986774160365
