gen best mean std
0 0.0 -82.9 30.043135655254115
1 0.0 -52.6 37.88456149937595
2 0.0 -43.8 40.41732301872554
3 0.0 -34.3 37.53012123614846
4 0.0 -24.653465346534652 31.889796513222542
5 0.0 -27.6 34.41278832062288
6 0.0 -27.2 36.11315549768529
7 0.0 -31.0 35.70714214271425
8 0.0 -31.3 36.569249377038105
9 0.0 -26.836734693877553 33.67300556266832
10 0.0 -37.857142857142854 40.56363104143053
11 0.0 -29.494949494949495 36.16387330013416
12 0.0 -31.93877551020408 39.991278724377274
13 0.0 -23.636363636363637 33.94750985213345
14 0.0 -27.7 35.23790572664609
