gen best mean std
0 0.0 -87.0 31.0
1 0.0 -84.75 32.40273908175048
2 0.0 -84.75 31.383713929361516
3 0.0 -84.5 31.93352470367153
4 0.0 -85.0 31.85906464414798
5 28.000000000000256 -84.04999999999998 33.7297717158003
6 22.600000000000243 -83.18499999999999 34.35876562101731
7 0.0 -84.5 32.553801621316055
8 0.0 -84.5 32.39984567864483
9 10.00000000000023 -83.74999999999999 33.443048605053946
10 22.600000000000243 -84.18499999999999 33.588015347739756
11 10.000000000000233 -84.74999999999999 33.014201489662
12 0.0 -84.75 31.85808374651558
13 10.000000000000233 -86.24999999999999 31.19995993587173
14 0.0 -84.75 31.383713929361516
15 28.000000000000256 -84.29999999999998 33.95747340424492
16 0.0 -84.75 31.383713929361516
17 10.000000000000233 -85.24999999999999 31.621788374473713
18 22.600000000000243 -83.68499999999999 33.94244798184128
19 0.0 -84.0 32.77193921634788
