gen best mean std
0 0.0 -82.5 33.74537005279391
1 0.0 -86.0 29.13760456866693
2 0.0 -88.25 25.287101455089708
3 0.0 -86.0 28.53068523537421
4 0.0 -87.25 26.171310628243287
5 0.0 -85.0 30.083217912982647
6 0.0 -88.25 24.888501361070336
7 0.0 -85.75 28.36260742597549
8 0.0 -87.0 27.129319932501073
9 0.0 -87.5 26.71610001478509
10 0.0 -87.5 26.339134382131846
11 0.0 -86.75 26.77568859992213
12 0.0 -86.0 28.61817604250837
13 0.0 -85.25 30.821056114286545
14 0.0 -84.75 30.98285816382988
15 0.0 -87.5 25.763346055976502
16 0.0 -85.25 30.16517031279618
17 0.0 -84.5 31.060424980994707
18 0.0 -86.25 27.266050319032274
19 0.0 -86.25 27.98995355480248
