gen best mean std
0 87.13935834262664 5.084318472950697 23.48901397928884
1 91.19297711225776 25.213774165554533 35.057438867970156
2 91.5422642182204 33.06587424270982 39.39215534864057
3 91.93703951986407 32.97681068497465 37.49132502142271
4 91.84405089685372 36.30468759766628 37.2423261970626
5 92.4192564842077 44.11723086169763 37.06617502197226
6 92.4192564842077 38.7011440306667 37.91163135723835
7 92.4192564842077 45.43371475365271 39.117873785239055
8 92.4192564842077 47.505806142822564 38.19822501028801
9 92.4192564842077 52.65077251905505 37.65258616709645
10 92.4192564842077 54.36439104967117 35.80570577893922
11 91.8792564842077 59.89649566857278 36.87972392761197
12 92.1735612249423 58.678084765139346 36.02917826795753
13 91.8792564842077 50.72292100139848 38.076403828828674
14 92.1735612249423 47.744983068541295 37.28066694258937
