gen best mean std
0 0.0 -82.0 34.14674215792775
1 0.0 -83.75 31.91296758372684
2 0.0 -83.5 32.829102942358936
3 0.0 -83.5 33.28287848128524
4 0.0 -85.25 31.46327223923157
5 0.0 -84.25 32.24030862135162
6 0.0 -83.5 32.29163978493505
7 0.0 -85.0 31.54362059117501
8 0.0 -84.0 32.848135411313685
9 0.0 -84.25 32.24030862135162
10 0.0 -84.25 32.47210341200582
11 0.0 -84.5 31.697791721190924
12 0.0 -84.0 32.2335229225724
13 0.0 -84.5 31.93352470367153
14 0.0 -83.5 32.67644411498901
15 0.0 -84.5 31.776563690871296
16 0.0 -84.0 32.2335229225724
17 0.0 -85.0 31.54362059117501
18 0.0 -82.5 33.44772040064913
19 0.0 -82.5 33.52238058372347
