gen best mean std
0 -17.453405598203506 -83.0736806280371 34.176228872896665
1 27.090421870244604 -79.33281553700935 38.45821747272761
2 22.303194414481077 -81.16610294531944 36.34341328428047
3 21.588479516224297 -80.42869130048096 36.8002910840443
4 24.218625199000915 -79.0002330942048 38.091555609938666
5 21.990653999259777 -81.36335698029657 36.72263128106519
6 27.58902079624079 -79.79719859396155 38.49624083601426
7 23.37136587383676 -80.33058453405525 38.625734032679524
8 24.285585970883012 -80.20168443877705 37.12928712469927
9 23.872840756619063 -78.864418935395 38.929739922638966
10 27.75477693146786 -80.70623334714777 38.53553749691115
11 23.535684166104833 -79.52012356525827 37.644606553548904
12 22.81027519239886 -79.53779716304362 37.95716319865384
13 24.32408350599392 -81.80039392991674 36.85000184112793
14 25.105667325949383 -79.8658722477808 38.01913354179037
15 25.24926110073121 -82.23145274536698 36.689928630688875
16 25.268748798190913 -81.28967579378383 36.81192556303836
17 23.12540222979771 -80.51744032561994 38.256122701506335
18 24.552282284699707 -80.98665225282502 36.24577237340062
19 24.195201705605967 -80.71334361170047 37.79082024267846
