gen best mean std
0 25.184977332782324 -62.31695108658893 45.97241896514579
1 23.53385685247193 -68.89400194204833 42.846850756998535
2 24.643484161524686 -71.77768402440407 40.95434686290443
3 25.175937745579297 -69.887460682488 42.33301341350487
4 24.047008109160103 -69.60858595874849 41.85315606781178
5 24.79720062481604 -71.20037483055837 41.56532176386194
6 26.44585840562359 -69.99284402447132 42.12589035646745
7 25.621390078261456 -68.48730682307942 44.12392484804985
8 22.83766433976325 -68.35717691498888 41.848555866245086
9 22.73382547149014 -69.6930022191034 42.93458407069976
10 23.12354831948825 -72.26982512196417 40.11932959953073
11 25.787715420174603 -73.3903803526911 41.79170756452164
12 24.425304961633415 -71.25485669488215 40.773992206961886
13 22.83766433976325 -71.98794944897551 41.11590341699859
14 24.63542282434928 -70.68779026059755 41.260606531031655
15 24.482917830144256 -69.63431512001483 41.326227796104384
16 22.93769012674855 -67.05396231648328 43.212488153828446
17 24.96105693287683 -70.37033962334723 40.756393801416124
18 24.79720062481604 -70.15753676107752 40.7332869740741
19 23.14921959405753 -69.34130958400907 41.76917511358853
