

gen best mean std
0 -12.378423 -93.192673 27.854626
1 24.522359 -53.687429 39.170415
2 25.988677 -43.454243 42.725926
3 26.3893 -27.823299 44.055596
4 27.239246 -16.204425 47.227743
5 27.114161 -9.461647 49.891034
6 27.453893 -4.647317 44.802244
7 27.208845 -2.1138 44.147972
8 27.369389 10.084735 32.682579
9 26.607051 12.985202 29.336911
10 27.527871 5.547241 40.488752
11 27.239246 17.471221 18.722005
12 27.681955 18.638255 16.711419
13 27.016673 14.717747 24.368047
14 27.114161 17.410955 21.274907
15 27.02501 18.538958 20.597981
16 27.114161 16.007445 26.023064
17 28.317618 17.662123 22.30214
18 26.745038 22.108951 10.61759
19 27.369389 20.975209 17.354721
