

gen best mean std
0 25.642628 -80.324901 38.548021
1 25.04646 -45.679533 41.029185
2 25.828133 -39.14794 45.761737
3 27.845748 -22.283398 45.481903
4 26.10103 -17.138928 47.224273
5 27.114161 -14.671534 48.898549
6 27.527871 -6.297236 44.917597
7 27.208845 3.734872 42.089574
8 27.473901 6.326095 36.049057
9 26.49927 3.30657 41.614439
10 26.437044 11.709296 32.696524
11 26.816125 10.764157 34.559961
12 27.527871 9.824267 37.056307
13 26.745038 17.279871 26.516822
14 27.114161 18.601188 20.511301
15 26.95239 11.353667 32.938153
16 27.473901 16.921968 25.184047
17 27.481742 19.668185 20.908634
18 28.303524 21.682969 13.956568
19 26.838917 17.774837 24.043647
