

gen best mean std
0 0.0 -81.7 30.823854
1 0.0 -55.7 40.969623
2 0.0 -48.5 43.275282
3 0.0 -29.5 41.070062
4 0.0 -26.3 40.636314
5 0.0 -21.6 35.319117
6 0.0 -10.1 25.514506
7 0.0 -12.6 28.2
8 0.0 -14.3 32.349807
9 0.0 -12.828283 30.085414
10 0.0 -5.306122 20.514011
11 0.0 -8.659794 23.136924
12 0.0 -6.597938 23.325867
13 0.0 -4.845361 18.506806
14 0.0 -10.515464 26.41349
15 0.0 -5.670103 21.147846
16 0.0 -4.329897 19.578403
17 0.0 -1.85567 11.516899
18 0.0 -5.670103 21.629839
19 0.0 -3.402062 16.427698
