

gen best mean std
0 91.572379 6.388238 26.094332
0 91.858736 16.381024 31.410843
1 92.043172 40.151273 33.421241
2 92.332142 60.483883 32.077067
3 92.568788 76.598566 23.492915
4 92.694668 65.243802 33.896797
5 93.012614 69.64057 33.793971
6 92.766278 73.430808 34.099174
7 92.766278 75.62518 31.651564
8 93.340414 74.345223 31.405811
9 92.867281 75.660673 27.199585
10 92.694668 78.555067 25.610109
11 93.136168 74.585174 29.994685
12 93.052892 76.276327 27.91671
13 93.140414 76.783777 27.712368
14 93.052892 78.884721 23.354881
