

gen best mean std
0 88.479703 7.290722 29.372733
0 87.531858 18.716164 36.93467
1 88.479703 31.019318 38.101835
2 87.877949 47.536171 41.119801
3 91.226602 56.608781 41.358032
4 91.226602 66.462702 35.755726
5 91.166602 64.504755 37.361141
6 88.990675 66.15239 36.32323
7 90.832977 68.705175 33.313934
8 92.092977 67.021612 36.836938
9 90.832977 66.804309 36.195401
10 89.958736 70.308426 33.222509
11 89.068118 66.871892 35.452991
12 90.952977 68.719233 34.790471
13 91.422264 67.599459 34.50978
14 90.070924 63.220652 38.338809
