

gen best mean std
0 91.858736 6.6411 25.998224
0 91.843172 18.362472 32.681534
1 92.288012 39.424515 34.866997
2 92.368891 56.797771 35.064055
3 92.347727 55.868277 38.749324
4 92.569562 73.887118 25.813781
5 92.694668 69.228325 30.202309
6 92.936168 76.957712 28.005677
7 92.936168 79.764546 25.660307
8 92.694668 82.391686 23.354018
9 92.643172 77.521984 27.891379
10 92.658736 78.693585 27.980238
11 92.766278 84.166716 19.523586
12 92.736168 83.860401 21.446612
13 92.766278 81.851509 22.04487
14 92.736168 81.214463 22.921489
