

gen best mean std
0 88.894553 7.185916 28.484868
0 89.870703 19.713729 36.260883
1 89.599688 35.277343 38.26097
2 88.894553 51.811699 40.680884
3 87.827911 63.364584 35.903461
4 91.281578 69.923814 32.806562
5 90.626602 72.153886 29.739365
6 91.886285 62.17155 39.364916
7 88.333561 72.682172 30.610287
8 91.826285 73.155064 30.427058
9 89.426611 70.539211 32.877448
10 89.599688 72.990152 31.032398
11 88.390675 78.900039 23.177122
12 90.773548 71.823528 31.622484
13 88.390675 67.272554 34.317633
14 88.390675 68.80046 32.225214
