

gen best mean std
0 91.933573 4.119988 25.199408
0 91.933573 16.118308 33.418141
1 92.439318 37.131805 38.876217
2 92.368788 62.182539 34.332518
3 92.533573 66.208692 35.766559
4 93.542505 63.524442 38.913278
5 92.572379 75.97893 30.037529
6 92.740414 71.773092 33.251405
7 92.766278 78.877547 29.634971
8 93.332142 79.876557 26.981619
9 93.332142 79.371191 27.817779
10 92.932142 83.129058 22.356833
11 92.932142 77.760894 29.162629
12 93.012614 75.896256 28.785348
13 93.542505 74.693926 30.029151
14 93.012614 70.918139 33.101403
