

gen best mean std
0 90.145289 8.620708 25.735026
0 92.723414 22.925996 35.497785
1 93.394253 41.036831 38.759916
2 93.021683 55.760757 40.151077
3 93.936796 72.734273 33.249656
4 94.277198 72.910696 34.79758
5 93.936796 78.273692 32.074273
6 94.130514 81.229667 27.514328
7 93.944679 87.226408 19.902445
8 93.936796 84.64664 23.558039
9 93.936796 86.897072 19.870809
10 94.089651 90.498348 13.225151
11 93.936796 87.091546 21.479145
12 93.936796 82.593934 28.061613
13 93.936796 85.904892 22.739125
14 93.936796 85.390731 23.317771
