

MESSAGE: Pygame initialized for simulation.

########## Simulation state - INI ###########

# solutions # : EMPTY 

# sensors # : 20

 ------  parameters ------  

# contact hurt (training agent) # : player

multiple mode: no

enemies list: 5

current enemy: 5

player mode: ai

enemy mode: static

level: 2

clock precision: low

inputs coded: no

random initialization: yes

expiration time: 3000

speed: fastest

load player: yes

load enemy: yes

sound: off

overture time: 100

logs: on

save logs: yes

########## Simulation state - END ###########

RUN: run status: enemy: 5; fitness: -6.829793737512425; player life: 0; enemy life: 100; time: 925; ind_gain : -100

RUN: run status: enemy: 5; fitness: 19.832244721017876; player life: 87.40000000000012; enemy life: 80.0; time: 1000; ind_gain : 7.400000000000119

RUN: run status: enemy: 5; fitness: 8.372244721017896; player life: 62.80000000000034; enemy life: 90.0; time: 1000; ind_gain : -27.199999999999662

RUN: run status: enemy: 5; fitness: -3.8077552789821105; player life: 31.000000000000263; enemy life: 100; time: 1000; ind_gain : -68.99999999999974

RUN: run status: enemy: 5; fitness: 2.3722447210178697; player life: 92.80000000000007; enemy life: 100; time: 1000; ind_gain : -7.199999999999932

RUN: run status: enemy: 5; fitness: 0.27224472101789043; player life: 71.80000000000027; enemy life: 100; time: 1000; ind_gain : -28.199999999999733

RUN: run status: enemy: 5; fitness: 2.792244721017866; player life: 97.00000000000003; enemy life: 100; time: 1000; ind_gain : -2.9999999999999716

RUN: run status: enemy: 5; fitness: 48.08649699436173; player life: 0; enemy life: 40.0; time: 370; ind_gain : -40.0

RUN: run status: enemy: 5; fitness: -3.4477552789821093; player life: 34.60000000000027; enemy life: 100; time: 1000; ind_gain : -65.39999999999972

RUN: run status: enemy: 5; fitness: -1.9477552789821058; player life: 49.60000000000031; enemy life: 100; time: 1000; ind_gain : -50.39999999999969

RUN: run status: enemy: 5; fitness: -1.7077552789821056; player life: 52.00000000000031; enemy life: 100; time: 1000; ind_gain : -47.99999999999969

RUN: run status: enemy: 5; fitness: 41.972244721017894; player life: 38.80000000000028; enemy life: 50.0; time: 1000; ind_gain : -11.199999999999719

RUN: run status: enemy: 5; fitness: -5.067755278982114; player life: 18.400000000000233; enemy life: 100; time: 1000; ind_gain : -81.59999999999977

RUN: run status: enemy: 5; fitness: 0.7522447210178855; player life: 76.60000000000022; enemy life: 100; time: 1000; ind_gain : -23.39999999999978

RUN: run status: enemy: 5; fitness: -6.335054251498059; player life: 0; enemy life: 100; time: 564; ind_gain : -100

RUN: run status: enemy: 5; fitness: 0.27224472101789043; player life: 71.80000000000027; enemy life: 100; time: 1000; ind_gain : -28.199999999999733

RUN: run status: enemy: 5; fitness: 12.065105804380412; player life: 0; enemy life: 80.0; time: 378; ind_gain : -80.0

RUN: run status: enemy: 5; fitness: 2.8262138960980634; player life: 0; enemy life: 90.0; time: 480; ind_gain : -90.0

RUN: run status: enemy: 5; fitness: -6.349138991379798; player life: 0; enemy life: 100; time: 572; ind_gain : -100

RUN: run status: enemy: 5; fitness: -2.427755278982107; player life: 44.800000000000296; enemy life: 100; time: 1000; ind_gain : -55.199999999999704

RUN: run status: enemy: 5; fitness: -0.8077552789821034; player life: 61.000000000000334; enemy life: 100; time: 1000; ind_gain : -38.999999999999666

RUN: run status: enemy: 5; fitness: -2.727755278982108; player life: 41.80000000000029; enemy life: 100; time: 1000; ind_gain : -58.19999999999971

RUN: run status: enemy: 5; fitness: -4.167755278982112; player life: 27.400000000000254; enemy life: 100; time: 1000; ind_gain : -72.59999999999974

RUN: run status: enemy: 5; fitness: -1.527755278982105; player life: 53.80000000000032; enemy life: 100; time: 1000; ind_gain : -46.19999999999968

RUN: run status: enemy: 5; fitness: 84.77265687473462; player life: 15.400000000000228; enemy life: 0; time: 869; ind_gain : 15.400000000000228

RUN: run status: enemy: 5; fitness: -6.416732282512326; player life: 0; enemy life: 100; time: 612; ind_gain : -100

RUN: run status: enemy: 5; fitness: -6.333279628139691; player life: 0; enemy life: 100; time: 563; ind_gain : -100

RUN: run status: enemy: 5; fitness: -6.633318433280377; player life: 0; enemy life: 100; time: 760; ind_gain : -100

RUN: run status: enemy: 5; fitness: 0.6322447210178872; player life: 75.40000000000023; enemy life: 100; time: 1000; ind_gain : -24.599999999999767

RUN: run status: enemy: 5; fitness: -1.4077552789821048; player life: 55.00000000000032; enemy life: 100; time: 1000; ind_gain : -44.99999999999968

RUN: run status: enemy: 5; fitness: 1.952244721017875; player life: 88.60000000000011; enemy life: 100; time: 1000; ind_gain : -11.399999999999892

RUN: run status: enemy: 5; fitness: -1.7677552789821052; player life: 51.40000000000031; enemy life: 100; time: 1000; ind_gain : -48.59999999999969

RUN: run status: enemy: 5; fitness: 0.33224472101789004; player life: 72.40000000000026; enemy life: 100; time: 1000; ind_gain : -27.59999999999974

RUN: run status: enemy: 5; fitness: -6.304448802421981; player life: 0; enemy life: 100; time: 547; ind_gain : -100

RUN: run status: enemy: 5; fitness: -3.1477552789821086; player life: 37.60000000000028; enemy life: 100; time: 1000; ind_gain : -62.39999999999972

RUN: run status: enemy: 5; fitness: -1.4677552789821044; player life: 54.40000000000032; enemy life: 100; time: 1000; ind_gain : -45.59999999999968

RUN: run status: enemy: 5; fitness: -3.9277552789821106; player life: 29.80000000000026; enemy life: 100; time: 1000; ind_gain : -70.19999999999973

RUN: run status: enemy: 5; fitness: 87.36324619773174; player life: 30.40000000000026; enemy life: 0; time: 292; ind_gain : 30.40000000000026

RUN: run status: enemy: 5; fitness: -2.1277552789821064; player life: 47.8000000000003; enemy life: 100; time: 1000; ind_gain : -52.1999999999997

RUN: run status: enemy: 5; fitness: 0.39224472101788876; player life: 73.00000000000026; enemy life: 100; time: 1000; ind_gain : -26.999999999999744

RUN: run status: enemy: 5; fitness: 89.90901301948917; player life: 55.00000000000032; enemy life: 0; time: 268; ind_gain : 55.00000000000032

RUN: run status: enemy: 5; fitness: 29.80355587220548; player life: 0; enemy life: 60.0; time: 491; ind_gain : -60.0

RUN: run status: enemy: 5; fitness: -1.4677552789821044; player life: 54.40000000000032; enemy life: 100; time: 1000; ind_gain : -45.59999999999968

RUN: run status: enemy: 5; fitness: -4.527755278982112; player life: 23.800000000000246; enemy life: 100; time: 1000; ind_gain : -76.19999999999976

RUN: run status: enemy: 5; fitness: 87.78324619773174; player life: 34.60000000000027; enemy life: 0; time: 292; ind_gain : 34.60000000000027

RUN: run status: enemy: 5; fitness: -0.3277552789821039; player life: 65.80000000000032; enemy life: 100; time: 1000; ind_gain : -34.199999999999676

RUN: run status: enemy: 5; fitness: -6.380122536899765; player life: 0; enemy life: 100; time: 590; ind_gain : -100

RUN: run status: enemy: 5; fitness: 29.704733998560354; player life: 0; enemy life: 60.0; time: 542; ind_gain : -60.0

RUN: run status: enemy: 5; fitness: 14.67224472101789; player life: 35.800000000000274; enemy life: 80.0; time: 1000; ind_gain : -44.199999999999726

RUN: run status: enemy: 5; fitness: 10.952244721017877; player life: 88.60000000000011; enemy life: 90.0; time: 1000; ind_gain : -1.399999999999892

RUN: run status: enemy: 5; fitness: 89.8452886203982; player life: 54.40000000000032; enemy life: 0; time: 269; ind_gain : 54.40000000000032

RUN: run status: enemy: 5; fitness: -6.349138991379798; player life: 0; enemy life: 100; time: 572; ind_gain : -100

RUN: run status: enemy: 5; fitness: -5.187755278982114; player life: 17.20000000000023; enemy life: 100; time: 1000; ind_gain : -82.79999999999977

RUN: run status: enemy: 5; fitness: 39.01606371931281; player life: 0; enemy life: 50.0; time: 397; ind_gain : -50.0

RUN: run status: enemy: 5; fitness: 3.272244721017886; player life: 11.80000000000023; enemy life: 90.0; time: 1000; ind_gain : -78.19999999999978

RUN: run status: enemy: 5; fitness: -2.0077552789821063; player life: 49.000000000000306; enemy life: 100; time: 1000; ind_gain : -50.999999999999694

RUN: run status: enemy: 5; fitness: -2.9677552789821084; player life: 39.40000000000028; enemy life: 100; time: 1000; ind_gain : -60.59999999999972

RUN: run status: enemy: 5; fitness: 1.1122447210178823; player life: 80.20000000000019; enemy life: 100; time: 1000; ind_gain : -19.799999999999812

RUN: run status: enemy: 5; fitness: -1.7677552789821052; player life: 51.40000000000031; enemy life: 100; time: 1000; ind_gain : -48.59999999999969

RUN: run status: enemy: 5; fitness: 20.204294224826487; player life: 0; enemy life: 70.0; time: 894; ind_gain : -70.0

RUN: run status: enemy: 5; fitness: -6.118097198041348; player life: 0; enemy life: 100; time: 454; ind_gain : -100

RUN: run status: enemy: 5; fitness: -1.2877552789821038; player life: 56.20000000000032; enemy life: 100; time: 1000; ind_gain : -43.79999999999968

RUN: run status: enemy: 5; fitness: 0.9322447210178844; player life: 78.4000000000002; enemy life: 100; time: 1000; ind_gain : -21.599999999999795

RUN: run status: enemy: 5; fitness: -5.727755278982114; player life: 11.80000000000023; enemy life: 100; time: 1000; ind_gain : -88.19999999999978

RUN: run status: enemy: 5; fitness: -1.0477552789821036; player life: 58.60000000000033; enemy life: 100; time: 1000; ind_gain : -41.39999999999967

RUN: run status: enemy: 5; fitness: -0.3877552789821035; player life: 65.20000000000033; enemy life: 100; time: 1000; ind_gain : -34.79999999999967

RUN: run status: enemy: 5; fitness: -6.715383386334681; player life: 0; enemy life: 100; time: 825; ind_gain : -100

RUN: run status: enemy: 5; fitness: -0.6877552789821024; player life: 62.20000000000034; enemy life: 100; time: 1000; ind_gain : -37.79999999999966

RUN: run status: enemy: 5; fitness: 0.21224472101789083; player life: 71.20000000000027; enemy life: 100; time: 1000; ind_gain : -28.799999999999727

RUN: run status: enemy: 5; fitness: -4.407755278982112; player life: 25.00000000000025; enemy life: 100; time: 1000; ind_gain : -74.99999999999974

RUN: run status: enemy: 5; fitness: -6.466144724237619; player life: 0; enemy life: 100; time: 643; ind_gain : -100

RUN: run status: enemy: 5; fitness: 88.51788117912034; player life: 41.20000000000029; enemy life: 0; time: 271; ind_gain : 41.20000000000029

RUN: run status: enemy: 5; fitness: 1.4122447210178795; player life: 83.20000000000016; enemy life: 100; time: 1000; ind_gain : -16.79999999999984

RUN: run status: enemy: 5; fitness: -3.267755278982109; player life: 36.400000000000276; enemy life: 100; time: 1000; ind_gain : -63.599999999999724

RUN: run status: enemy: 5; fitness: -1.1077552789821041; player life: 58.00000000000033; enemy life: 100; time: 1000; ind_gain : -41.99999999999967

RUN: run status: enemy: 5; fitness: -1.9477552789821058; player life: 49.60000000000031; enemy life: 100; time: 1000; ind_gain : -50.39999999999969

RUN: run status: enemy: 5; fitness: 85.88234767677737; player life: 16.60000000000023; enemy life: 0; time: 323; ind_gain : 16.60000000000023

RUN: run status: enemy: 5; fitness: -6.459904454377535; player life: 0; enemy life: 100; time: 639; ind_gain : -100

RUN: run status: enemy: 5; fitness: 29.612244721017888; player life: 5.200000000000234; enemy life: 60.0; time: 1000; ind_gain : -54.79999999999977

RUN: run status: enemy: 5; fitness: 40.71224472101789; player life: 26.20000000000025; enemy life: 50.0; time: 1000; ind_gain : -23.79999999999975

RUN: run status: enemy: 5; fitness: -4.227755278982111; player life: 26.800000000000253; enemy life: 100; time: 1000; ind_gain : -73.19999999999975

RUN: run status: enemy: 5; fitness: -1.1077552789821041; player life: 58.00000000000033; enemy life: 100; time: 1000; ind_gain : -41.99999999999967

RUN: run status: enemy: 5; fitness: -2.7877552789821083; player life: 41.20000000000029; enemy life: 100; time: 1000; ind_gain : -58.79999999999971

RUN: run status: enemy: 5; fitness: -6.56244409369372; player life: 0; enemy life: 100; time: 708; ind_gain : -100

