

gen best mean std
0 92.133573 9.268678 29.336981
0 92.87699 27.86458 37.81675
1 92.652892 49.917144 34.25178
2 92.932142 58.445056 36.950444
3 91.93704 58.189038 37.211142
4 92.375982 63.004018 37.140389
5 92.932142 65.884037 38.296699
6 92.932142 64.46883 38.740124
7 92.133573 67.7603 38.428592
8 92.77505 74.957683 33.929987
9 92.533573 75.017171 31.738742
10 92.658736 79.501243 27.007772
11 92.533573 74.917281 33.286755
12 93.340414 73.49775 34.976068
13 92.658736 75.949592 33.490732
14 92.658736 79.338475 28.914531
