

gen best mean std
0 92.268859 20.820273 36.291243
0 92.088962 36.162682 40.673546
1 93.501683 58.593873 38.463231
2 93.799465 63.705515 40.171049
3 93.936796 69.023231 36.267841
4 93.936796 62.346901 41.120679
5 93.936796 71.029446 36.809021
6 93.936796 76.735561 32.197987
7 94.198336 78.798821 32.166331
8 93.936796 83.283226 26.338733
9 93.936796 82.210298 27.822028
10 93.936796 85.335126 24.191387
11 93.936796 85.384466 23.600504
12 93.936796 86.700413 21.283185
13 93.936796 88.945016 17.226668
14 93.936796 88.368129 18.988563
