

gen best mean std
0 -6.411231 -87.278041 30.13328
1 -12.165567 -74.098603 33.279808
2 6.980922 -53.744519 34.951505
3 -2.197045 -43.413153 34.385029
4 -1.566733 -40.818745 31.34141
5 -11.347494 -38.085387 28.725153
6 -11.016123 -41.028488 31.184869
7 -7.488493 -38.026884 30.166892
8 5.490724 -33.350248 25.85541
9 -5.394301 -32.5583 25.180586
10 -12.422063 -33.217734 25.058124
11 -11.703186 -34.068538 24.515568
12 -7.717181 -32.780105 25.329187
13 -6.834257 -34.526597 27.62017
14 -2.934307 -40.116855 29.801004
