

gen best mean std
0 86.431965 2.942654 20.656615
0 89.206268 7.771214 24.958433
1 87.525869 24.16076 32.5387
2 93.318253 39.299244 38.437496
3 92.137323 56.171604 37.16855
4 93.318253 61.25752 38.11617
5 89.779361 63.366966 37.979142
6 93.318253 64.057113 36.736254
7 89.862464 67.856808 34.465754
8 91.166602 68.90176 33.286656
9 89.206268 66.055147 34.746648
10 91.422264 69.369044 33.544077
11 90.806602 77.49082 25.660697
12 89.206268 74.500312 28.861492
13 89.862464 75.550829 27.551028
14 91.166602 77.809765 25.499699
