

gen best mean std
0 92.643172 11.208012 29.219126
0 92.643172 27.609943 36.2401
1 92.643172 55.250766 34.261647
2 93.521885 66.473206 32.160025
3 92.643172 68.998077 33.007456
4 92.575982 67.626075 35.589905
5 92.643172 71.524348 33.127011
6 92.643172 73.025432 34.072605
7 92.568788 72.389721 33.994062
8 93.012614 71.316362 34.03452
9 92.694668 78.8026 29.23286
10 93.012614 79.286917 25.476711
11 92.658736 78.953239 27.025222
12 93.012614 81.953704 21.466219
13 92.932142 74.900059 30.133523
14 92.77505 76.83145 29.025808
