

gen best mean std
0 91.933573 13.612023 32.237563
0 91.843172 35.694147 37.55569
1 92.533573 64.592 33.218502
2 92.932142 73.013283 28.092507
3 92.643172 73.443128 30.111234
4 92.643172 77.768236 25.656665
5 92.643172 74.660864 32.64716
6 93.212614 77.651658 28.304989
7 92.643172 79.760245 27.319444
8 92.698742 72.290237 33.877691
9 92.694668 79.046568 28.823567
10 92.932142 75.170872 32.614272
11 92.658736 77.054022 31.43017
12 93.012614 79.056775 28.408869
13 92.940414 80.465688 26.514283
14 92.932142 81.455633 24.117495
